downm001: ['194', '0.17297162', '0.14285715', '0.16635160'] 
hollm001: ['692', '0.17791009', '0.15151516', '0.16631579'] 
desmi001: ['549', '0.16746239', '0.16597511', '0.16630197'] 
piera001: ['521', '0.16887447', '0.16064256', '0.16609590'] 
navad002: ['320', '0.19211751', '0.13553114', '0.16599999'] 
craia001: ['517', '0.17989746', '0.18269230', '0.16582634'] 
schin001: ['273', '0.19153048', '0.11640212', '0.16582279'] 
rossd001: ['200', '0.19283122', '0.13953489', '0.16559486'] 
dirka001: ['353', '0.17802824', '0.10882353', '0.16537468'] 
mclon001: ['301', '0.21037114', '0.09722222', '0.16519547'] 
freef001: ['621', '0.18464017', '0.16666667', '0.16508254'] 
wietm001: ['597', '0.18987238', '0.17399999', '0.16504854'] 
chisl001: ['153', '0.18888889', '0.12030075', '0.16478555'] 
hairs001: ['414', '0.17322056', '0.16991644', '0.16478555'] 
saunm001: ['555', '0.19479835', '0.12284483', '0.16477612'] 
duncs001: ['272', '0.20045839', '0.17010309', '0.16470589'] 
chave001: ['331', '0.17847919', '0.13879004', '0.16430596'] 
casts001: ['693', '0.17157590', '0.15097691', '0.16426513'] 
joycm001: ['475', '0.18712254', '0.15403423', '0.16424802'] 
gonzc001: ['581', '0.16844268', '0.15024233', '0.16411483'] 
avila001: ['437', '0.21049015', '0.14080460', '0.16407464'] 
grany001: ['228', '0.18367347', '0.16888888', '0.16365980'] 
granc001: ['686', '0.19218029', '0.15789473', '0.16336842'] 
crawc002: ['125', '0.18048592', '0.17355372', '0.16326530'] 
frazt001: ['467', '0.18585676', '0.16627635', '0.16320100'] 
fowld001: ['536', '0.18529081', '0.10285714', '0.16275167'] 
altuj001: ['632', '0.17603333', '0.08441558', '0.16272523'] 
gonza003: ['688', '0.17136103', '0.17591125', '0.16250567'] 
goldp001: ['590', '0.17478152', '0.14406779', '0.16248153'] 
crisc001: ['510', '0.17525868', '0.11510792', '0.16207349'] 
sandp001: ['444', '0.17498946', '0.16707617', '0.16203059'] 
forsl001: ['353', '0.18567775', '0.09493671', '0.16202091'] 
zimmr001: ['642', '0.17744371', '0.17028381', '0.16193053'] 
uptob001: ['637', '0.17266499', '0.14882033', '0.16173570'] 
guzmj005: ['325', '0.18754433', '0.18972331', '0.16157636'] 
