abreb001	0.1944107,0.12844037,0.15870968
ackld001	0.20115404,0.09885932,0.14582224
adamm002	0.16777493,0.13978495,0.12158055
alony001	0.17010348,0.125,0.14660724
altuj001	0.17603333,0.084415585,0.16272523
alvap001	0.18319342,0.1724138,0.16878307
amara001	0.1709221,0.13833992,0.14794216
andir001	0.18691385,0.0984127,0.1352
andre001	0.18788314,0.08609272,0.13120131
ankir001	0.18764637,0.122137405,0.16015625
aokin001	0.19213174,0.104743086,0.15870401
arenj001	0.19727616,0.17868339,0.1610247
ariaj001	0.15893777,0.115625,0.13508613
averx001	0.18694362,0.069767445,0.15161291
avila001	0.21049015,0.1408046,0.16407464
avilm001	0.1787079,0.140625,0.14258675
aybae001	0.16175438,0.09496124,0.14517938
bakej001	0.1699861,0.1534091,0.13875598
bakej002	0.17762727,0.07692308,0.12556054
barar001	0.17859541,0.12589929,0.1468599
barmc001	0.17731541,0.11302211,0.117962465
barnb002	0.18718764,0.13157895,0.11320755
barnd001	0.1714775,0.0989899,0.1426087
bartd001	0.2183436,0.057692308,0.14690721
bartj001	0.16775315,0.072463766,0.10344828
bautj002	0.19918469,0.16267942,0.18329638
baxtm001	0.18001354,0.11888112,0.18563923
bay-j001	0.18181819,0.12727273,0.118263476
beckg001	0.18527392,0.12978724,0.15441595
belta001	0.17472903,0.15307583,0.16983578
beltb001	0.17110197,0.1308017,0.15116976
beltc001	0.1679305,0.16831683,0.171592
berkl001	0.19236277,0.08045977,0.14480874
bernr001	0.16619484,0.10606061,0.12723657
berrq001	0.18139204,0.098305084,0.13071299
betay001	0.18329313,0.22023809,0.15718563
betew001	0.18114875,0.13993174,0.16080843
bixlb001	0.20779221,0.114754096,0.15209125
blacc001	0.17798595,0.09448819,0.13253012
blang001	0.1814093,0.09367089,0.14112616
bloow001	0.16642796,0.08741259,0.1454006
boesb001	0.17686157,0.12159329,0.13114753
bogub001	0.1790758,0.07795699,0.12005857
bonie001	0.2116957,0.0625,0.14140128
bourm001	0.20009544,0.1024735,0.16148445
bourp001	0.17421524,0.1122449,0.111918606
branm003	0.16510305,0.11796733,0.14719506
branr002	0.16311787,0.0927835,0.17048346
braur002	0.17598358,0.1751497,0.19085571
browa003	0.20755437,0.11214953,0.14832535
browd004	0.18324146,0.14673913,0.15151516
brucj001	0.17379358,0.17147708,0.17050068
buckj001	0.19297588,0.14141414,0.15476191
burre001	0.16682084,0.07272727,0.10714286
buted001	0.18215461,0.07462686,0.1373802
butlb003	0.18370214,0.18867925,0.18758883
byrdm001	0.17659321,0.07692308,0.09263158
cabra002	0.17935872,0.13772455,0.16853933
cabre001	0.19461046,0.07608695,0.13338038
cabrm001	0.18450081,0.22005989,0.20303687
cabrm002	0.1675962,0.14849187,0.18107769
cainl001	0.19360867,0.14090909,0.15566625
cairm001	0.1733124,0.104,0.10020877
calla001	0.18532178,0.10404624,0.14243147
campt001	0.17144306,0.03731343,0.11753731
canor001	0.15864076,0.1300813,0.16685979
canzr001	0.16251199,0.18461539,0.17004049
carpm001	0.19177076,0.13071896,0.14262024
carpm002	0.18884006,0.13662791,0.1576655
carre001	0.19343175,0.104347825,0.15555556
carrj001	0.18953173,0.09839817,0.14488286
cartc002	0.19046812,0.15175097,0.17032968
casia001	0.179155,0.11895911,0.13084112
castj006	0.19517206,0.13809524,0.17081851
casts001	0.1715759,0.15097691,0.16426513
castw002	0.1923943,0.17857143,0.171123
ceder002	0.19105038,0.1981982,0.18855932
cespy001	0.15992032,0.16036037,0.15971516
chave001	0.1784792,0.13879004,0.16430596
chave002	0.18562168,0.12745099,0.13114753
chisl001	0.18888889,0.120300755,0.16478555
choos001	0.19234361,0.121416524,0.17354989
cirip001	0.17435238,0.10695187,0.14913449
clevs001	0.1860264,0.096045196,0.12578617
coghc001	0.19344413,0.125,0.085365854
colvt001	0.17907967,0.18362282,0.17464599
conrb001	0.18824027,0.23529412,0.12913907
consj001	0.15190454,0.05263158,0.096463025
coopd002	0.17498401,0.094017096,0.15869565
corpc001	0.18611825,0.203125,0.16923077
couss001	0.1754386,0.050847456,0.115079366
cowgc001	0.20233463,0.118421055,0.1437309
cozaz001	0.19210704,0.08604651,0.15896821
craia001	0.17989746,0.1826923,0.16582634
crawb001	0.17804012,0.1209068,0.13858695
crawc002	0.18048592,0.17355372,0.1632653
crisc001	0.17525868,0.11510792,0.1620735
cruzl001	0.15792769,0.16929133,0.15789473
cruzn002	0.18361974,0.13656388,0.14904061
cruzt002	0.15307263,0.09166667,0.12325581
cuddm001	0.17668656,0.15422885,0.15889212
cuetj001	0.16524217,0.028169014,0.028225806
cunna001	0.16134061,0.104477614,0.1097561
damoj001	0.19401377,0.09952607,0.1262136
davic003	0.19606654,0.17479675,0.17713639
davii001	0.18786693,0.20361991,0.18
davir003	0.17750838,0.10798122,0.14597094
deaza001	0.18609795,0.09829868,0.15447155
dejed001	0.19961819,0.11868132,0.17086016
denoc001	0.1784268,0.12794612,0.17652173
derom001	0.18324608,0.08235294,0.09944751
descd001	0.17954321,0.07526882,0.12974203
desmi001	0.1674624,0.16597511,0.16630197
diazm003	0.16394748,0.13592233,0.14035088
dickr001	0.13646056,0.060606062,0.054166667
dirka001	0.17802824,0.10882353,0.16537468
dobbg001	0.17148954,0.12540193,0.13385147
domim001	0.17198443,0.20481928,0.16893733
donaj001	0.17175035,0.12544803,0.13958333
donaj002	0.16251639,0.09243698,0.104116224
doumr001	0.17186162,0.15853658,0.1587396
downm001	0.17297162,0.14285715,0.1663516
dozib001	0.16799258,0.110447764,0.11013216
drews001	0.18565291,0.084269665,0.12260217
dudal001	0.18659174,0.13348946,0.14492753
duncs001	0.20045839,0.17010309,0.16470589
dunna001	0.20377307,0.1592775,0.17450891
dysoj001	0.17975788,0.036231883,0.1308951
eatoa002	0.17360236,0.06122449,0.15249267
ellia001	0.20363142,0.13098237,0.17289719
ellim001	0.20232393,0.08611111,0.1597633
ellsj001	0.18267179,0.108,0.14672217
encae001	0.19704899,0.1986755,0.19554925
escoa003	0.1868645,0.114285715,0.15620053
escoe001	0.16698173,0.067567565,0.11358575
escoy001	0.16373105,0.09927798,0.12676795
espid001	0.18172172,0.09484193,0.14363636
ethia001	0.18170123,0.17202269,0.17120823
falui001	0.17279047,0.09090909,0.14532872
fielp001	0.17412351,0.17073171,0.1773231
figgc001	0.21073197,0.08759124,0.13552362
flahr001	0.17711328,0.13669065,0.125
florj002	0.18188915,0.11020408,0.11964107
florp001	0.18337564,0.093457945,0.13849765
flowt001	0.19263946,0.0890411,0.14419475
fontm001	0.18562874,0.048076924,0.13180515
forsl001	0.18567775,0.094936706,0.1620209
fowld001	0.18529081,0.10285714,0.16275167
franb001	0.17507033,0.08791209,0.12750717
franj004	0.18831943,0.10576923,0.13858268
franj005	0.17233269,0.17368421,0.14567527
frank001	0.18394092,0.09929078,0.18356644
frazt001	0.18585676,0.16627635,0.163201
freed001	0.1825631,0.15229358,0.16150671
freef001	0.18464017,0.16666667,0.16508254
fulds001	0.19879797,0.073529415,0.15953307
furcr001	0.18278591,0.103238866,0.12876551
galvf001	0.16529702,0.13333334,0.1286645
gentc001	0.15744752,0.095744684,0.124610595
getzc001	0.17169684,0.116564415,0.12596007
giamj001	0.20157285,0.10638298,0.15044248
giavj001	0.17256139,0.11445783,0.125
gimec001	0.17765495,0.08411215,0.122015916
goldp001	0.17478152,0.1440678,0.16248153
gomec002	0.1652452,0.11677282,0.14485388
gomej001	0.17271933,0.15686275,0.17147708
gomem001	0.19658849,0.18,0.15877438
gomey001	0.1807884,0.13829787,0.14769231
gonza002	0.175697,0.21348314,0.16558442
gonza003	0.17136103,0.17591125,0.16250567
